SOCCode	Title	Employment	Mean	Median	Entry	Experienced**				
41-2021	Counter and Rental Clerks	4810	30390	28280	18150	36500				
41-2022	Parts Salespersons	1180	33660	30540	21300	39840				
41-2031	Retail Salespersons	115280	27630	23100	17250	32810				
41-3011	Advertising Sales Agents	15090	82000	69290	41080	102460				
41-3021	Insurance Sales Agents	5360	88570	67760	43980	110860				
41-3031	"Securities, Commodities, and Financial Services Sales Agents"	49970	158780	149200	70360	>187200				
41-3041	Travel Agents	3230	38420	37460	25390	44930				
41-3099	"Sales Representatives, Services, All Other"	24440	82120	68700	36680	104850				
41-4011	"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"	4240	96070	85450	55720	116240				
41-4012	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	42230	79810	65700	35470	101980				
41-9011	Demonstrators and Product Promoters	930	33650	30210	22390	39280				
41-9012	Models		41930	42850	35180	45300				
41-9021	Real Estate Brokers	990	120370	101610	49240	155930				
41-9022	Real Estate Sales Agents	10400	88080	72330	42060	111090				
41-9031	Sales Engineers	1470	114940	112970	81740	131540				
41-9041	Telemarketers	3480	29020	27160	18780	34140				
41-9099	"Sales and Related Workers, All Other"	1380	32340	19820	17510	39760				
43-0000	Office and Administrative Support Occupations	668960	41460	37880	23020	50680				
43-1011	First-Line Supervisors of Office and Administrative Support Workers	51410	66510	62400	43980	77780				
43-2011	"Switchboard Operators, Including Answering Service"	3270	33600	33380	20640	40090				
43-2021	Telephone Operators	630	39180	39220	30390	43580				
43-3011	Bill and Account Collectors	7410	46140	44320	30350	54040				
43-3021	Billing and Posting Clerks	12820	41290	40030	29600	47140				
43-3031	"Bookkeeping, Accounting, and Auditing Clerks"	44120	43460	42490	28160	51120				
43-3051	Payroll and Timekeeping Clerks	4100	45730	45260	29510	53840				
43-3061	Procurement Clerks	1470	38240	37690	27110	43800				
43-3071	Tellers	10760	26700	26300	20380	29860				
43-3099	"Financial Clerks, All Other"	1940	54170	53150	33090	64710				
43-4011	Brokerage Clerks	7220	49600	50330	30400	59210				
43-4021	Correspondence Clerks		36220	33620	28030	40310				
43-4031	"Court, Municipal, and License Clerks"	2420	69510	76860	44070	82220				
43-4041	"Credit Authorizers, Checkers, and Clerks"	1720	48990	46040	39390	53790				
43-4051	Customer Service Representatives	58780	40240	37090	24390	48170				
43-4061	"Eligibility Interviewers, Government Programs"	4490	42220	38530	34390	46130				
43-4071	File Clerks	5130	31600	31410	19280	37760				
43-4081	"Hotel, Motel, and Resort Desk Clerks"	3340	39150	39940	26660	45400				
43-4111	"Interviewers, Except Eligibility and Loan"	7110	36090	37040	23360	42460				
43-4121	"Library Assistants, Clerical"	1960	25860	21980	16910	30340				
43-4131	Loan Interviewers and Clerks	3790	42280	45390	24970	50940				
43-4141	New Accounts Clerks	640	40350	39280	32340	44360				
43-4151	Order Clerks	3660	33740	32300	21180	40020				
43-4161	"Human Resources Assistants, Except Payroll and Timekeeping"	3410	41360	41000	29450	47310				
43-4171	Receptionists and Information Clerks	38150	30950	29850	22480	35180				
43-4181	Reservation and Transportation Ticket Agents and Travel Clerks	8530	35160	33560	23470	41000				
43-4199	"Information and Record Clerks, All Other"	3290	43440	43860	33200	48560				
43-5011	Cargo and Freight Agents	4100	44810	44340	28630	52910				
43-5021	Couriers and Messengers	6270	28380	25230	17250	33950				
43-5031	"Police, Fire, and Ambulance Dispatchers"	1530	43210	43210	37010	46310				
43-5032	"Dispatchers, Except Police, Fire, and Ambulance"	5630	49770	41950	25120	62100				
43-5041	"Meter Readers, Utilities"	570	48060	46510	33600	55290				
43-5051	Postal Service Clerks	2210	51670	53820	46840	54080				
43-5052	Postal Service Mail Carriers	7840	55630	57270	52390	57250				
43-5053	"Postal Service Mail Sorters, Processors, and Processing Machine Operators"	4860	53180	53810	51390	54080				
43-5061	"Production, Planning, and Expediting Clerks"	8390	55780	52870	33810	66770				
43-5071	"Shipping, Receiving, and Traffic Clerks"	17100	33080	29520	18980	40120				
43-5081	Stock Clerks and Order Fillers	40730	23790	20040	17040	27160				
43-5111	"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"	540	29670	27590	17990	35510				
43-6011	Executive Secretaries and Executive Administrative Assistants	41730	68280	67780	49670	77580				
43-6012	Legal Secretaries	9920	62550	64000	44980	71340				
43-6013	Medical Secretaries	2500	42610	42470	33610	47100				
43-6014	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	81240	38820	38640	26100	45190				
43-9011	Computer Operators	2170	44160	44040	29540	51460				
43-9021	Data Entry Keyers	6430	33710	32300	24010	38560				
43-9022	Word Processors and Typists	2620	41650	38360	27820	48570				
43-9031	Desktop Publishers	550	56000	55070	35500	66250				
43-9041	Insurance Claims and Policy Processing Clerks	2970	42700	42390	30300	48900				
43-9051	"Mail Clerks and Mail Machine Operators, Except Postal Service"	4780	33310	32060	23820	38050				
43-9061	"Office Clerks, General"	101740	30910	29850	19240	36740				
43-9071	"Office Machine Operators, Except Computer"	3120	31610	30090	19380	37730				
43-9081	Proofreaders and Copy Markers	1130	42380	40640	27960	49590				
43-9111	Statistical Assistants	980	49690	47080	35340	56870				
43-9199	"Office and Administrative Support Workers, All Other"	15520	34700	34880	28420	37840				
45-0000	"Farming, Fishing, and Forestry Occupations"	360	46130	45810	23970	57210				
45-2011	Agricultural Inspectors		65110	64980	52490	71430				
45-2092	"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"		32510	33690	17480	40020				
47-0000	Construction and Extraction Occupations	104000	67110	65220	34120	83600				
47-1011	Supervisors of Construction and Extraction Workers	8250	88230	86930	54930	104880				
47-2021	Brickmasons and Blockmasons	2210	72580	77310	41570	88090				
47-2022	Stonemasons		70750	70650	61700	75280				
47-2031	Carpenters	14980	66180	64460	37070	80740				
47-2041	Carpet Installers		34850	29600	22770	40890				
47-2042	"Floor Layers, Except Carpet, Wood, and Hard Tiles"		31890	33450	26220	34720				
47-2044	Tile and Marble Setters	980	71140	80900	37130	88150				
47-2051	Cement Masons and Concrete Finishers	1480	61770	66060	24180	80570				
47-2053	Terrazzo Workers and Finishers		54260	53900	30520	66130				
47-2061	Construction Laborers	18620	59470	62180	29060	74680				
47-2071	"Paving, Surfacing, and Tamping Equipment Operators"	740	75310	82180	56040	84940				
47-2072	Pile-Driver Operators		121100	135830	58050	152630				
47-2073	Operating Engineers and Other Construction Equipment Operators	2670	102970	101290	69670	119610				
47-2081	Drywall and Ceiling Tile Installers	860	49140	37990	28230	59590				
47-2082	Tapers	450	85480	87590	71990	92230				
47-2111	Electricians	15560	82700	92250	49550	99270				
47-2121	Glaziers	1460	41380	38790	26390	48870				
47-2132	"Insulation Workers, Mechanical"	340	65720	59950	26700	85230				
47-2141	"Painters, Construction and Maintenance"	5090	52870	47860	30060	64270				
47-2142	Paperhangers		43990	44200	26170	52890				
47-2151	Pipelayers		33120	30980	22280	38530				
47-2152	"Plumbers, Pipefitters, and Steamfitters"	7900	70030	68480	41650	84220				
47-2161	Plasterers and Stucco Masons	370	73390	80360	52290	83940				
47-2171	Reinforcing Iron and Rebar Workers		93300	89260	76880	101510				
47-2181	Roofers	750	55360	37850	25590	70250				
47-2211	Sheet Metal Workers	2040	62400	52210	37250	74970				
47-2221	Structural Iron and Steel Workers	1600	85870	86660	70100	93750				
47-2231	Solar Photovoltaic Installers		41290	43560	17080	53390				
47-3011	"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"	690	41010	36160	31680	45670				
47-3012	Helpers--Carpenters	650	29410	30220	20700	33770				
47-3013	Helpers--Electricians	2620	37420	34390	26320	42970				
47-3014	"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"		29160	27640	25890	30800				
47-3015	"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"	1970	31040	27540	21060	36040				
47-3019	"Helpers, Construction Trades, All Other"		22020	21100	17470	24300				
47-4011	Construction and Building Inspectors	2210	65340	61860	43830	76090				
47-4021	Elevator Installers and Repairers	2210	77250	75530	52840	89460				
47-4031	Fence Erectors		35340	34720	24430	40790				
47-4041	Hazardous Materials Removal Workers	1580	59950	65150	37380	71240				
47-4099	"Construction and Related Workers, All Other"		65760	81540	27590	84850				
47-5021	"Earth Drillers, Except Oil and Gas"		80740	73820	58560	91830				
49-0000	"Installation, Maintenance, and Repair Occupations"	108090	52860	49430	29120	64730				
49-1011	"First-Line Supervisors of Mechanics, Installers, and Repairers"	9260	78130	80650	53050	90670				
49-2011	"Computer, Automated Teller, and Office Machine Repairers"	3410	42660	42150	30560	48720				
49-2022	"Telecommunications Equipment Installers and Repairers, Except Line Installers"	5950	70600	76640	47860	81980				
49-2091	Avionics Technicians		63210	65480	50040	69800				
49-2092	"Electric Motor, Power Tool, and Related Repairers"		53580	55070	38150	61300				
49-2093	"Electrical and Electronics Installers and Repairers, Transportation Equipment"	410	68730	69900	67100	69550				
49-2094	"Electrical and Electronics Repairers, Commercial and Industrial Equipment"		59350	63470	37670	70200				
49-2096	"Electronic Equipment Installers and Repairers, Motor Vehicles"		37390	30290	23810	44180				
49-2097	Electronic Home Entertainment Equipment Installers and Repairers		41960	38590	26120	49880				
49-2098	Security and Fire Alarm Systems Installers	1040	59300	49600	35440	71230				
49-3011	Aircraft Mechanics and Service Technicians	1580	57340	56830	48600	61720				
49-3021	Automotive Body and Related Repairers	1500	32800	29320	20740	38840				
49-3023	Automotive Service Technicians and Mechanics	6270	41720	35450	21410	51870				
49-3031	Bus and Truck Mechanics and Diesel Engine Specialists	3920	60380	62050	44030	68550				
49-3042	"Mobile Heavy Equipment Mechanics, Except Engines"	330	62460	62730	41070	73150				
49-3043	Rail Car Repairers		65610	67600	57750	69540				
49-3052	Motorcycle Mechanics		42630	37220	30810	48530				
49-3091	Bicycle Repairers		30770	32420	23920	34200				
49-3093	Tire Repairers and Changers		25790	19280	17320	30020				
49-9012	"Control and Valve Installers and Repairers, Except Mechanical Door"	1350	67160	67180	46860	77310				
49-9021	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	4730	58440	60240	33500	70910				
49-9031	Home Appliance Repairers	1540	33280	34020	19560	40140				
49-9041	Industrial Machinery Mechanics	1050	52550	48240	29040	64300				
49-9043	"Maintenance Workers, Machinery"	1000	60190	54640	33760	73410				
49-9044	Millwrights	320	62190	56170	38520	74020				
49-9051	Electrical Power-Line Installers and Repairers		72410	74940	54360	81440				
49-9052	Telecommunications Line Installers and Repairers	7740	68120	78840	38090	83140				
49-9061	Camera and Photographic Equipment Repairers		51710	51780	34920	60100				
49-9062	Medical Equipment Repairers	440	52950	50270	40680	59080				
49-9063	Musical Instrument Repairers and Tuners		31510	28050	22680	35920				
49-9064	Watch Repairers		45620	44610	35620	50620				
49-9069	"Precision Instrument and Equipment Repairers, All Other"		53760	50080	34960	63160				
49-9071	"Maintenance and Repair Workers, General"	44490	43990	43170	27490	52240				
49-9091	"Coin, Vending, and Amusement Machine Servicers and Repairers"	870	43380	33610	26440	51840				
49-9092	Commercial Divers		127410	133630	115670	133270				
49-9094	Locksmiths and Safe Repairers	430	40820	41620	23890	49280				
49-9096	Riggers		62030	59490	41910	72090				
49-9098	"Helpers--Installation, Maintenance, and Repair Workers"	2240	35870	31620	20800	43410				
49-9099	"Installation, Maintenance, and Repair Workers, All Other"	930	51970	50260	32200	61860				
51-0000	Production Occupations	80740	36130	29480	18430	44970				
51-1011	First-Line Supervisors of Production and Operating Workers	5220	67680	65360	38220	82410				
51-2022	Electrical and Electronic Equipment Assemblers	1200	29020	25670	17950	34550				
51-2023	Electromechanical Equipment Assemblers		26370	25820	18270	30420				
51-2031	Engine and Other Machine Assemblers		38870	31450	28090	44260				
51-2041	Structural Metal Fabricators and Fitters	420	44890	43920	32320	51180				
51-2092	Team Assemblers	4150	26800	24210	17890	31260				
51-2099	"Assemblers and Fabricators, All Other"	1500	25900	23840	18380	29650				
51-3011	Bakers	4250	26730	24130	17590	31300				
51-3021	Butchers and Meat Cutters	1360	45660	50130	29640	53660				
51-3022	"Meat, Poultry, and Fish Cutters and Trimmers"	2180	25920	21630	16950	30400				
51-3023	Slaughterers and Meat Packers		28240	26500	17380	33670				
51-3091	"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"		26450	26710	19630	29860				
51-3092	Food Batchmakers	1540	24900	19540	16980	28870				
51-3093	Food Cooking Machine Operators and Tenders	470	29940	27920	19010	35410				
51-4011	"Computer-Controlled Machine Tool Operators, Metal and Plastic"		35840	33130	27550	39990				
51-4012	"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"		65570	64740	45480	75610				
51-4021	"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"		31250	30800	23480	35140				
51-4022	"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"		33570	37920	19960	40380				
51-4023	"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"		34340	34210	24600	39210				
51-4031	"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"	690	30490	28880	19310	36080				
51-4032	"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"		30670	28120	21270	35370				
51-4033	"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"		33450	32270	22400	38980				
51-4034	"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"		39300	37050	32560	42670				
51-4035	"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"		28840	29430	16710	34910				
51-4041	Machinists	1390	50060	43930	28960	60610				
51-4051	Metal-Refining Furnace Operators and Tenders		35390	35360	33610	36280				
51-4061	"Model Makers, Metal and Plastic"		38380	33740	23840	45650				
51-4072	"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"	290	26320	24120	18250	30360				
51-4081	"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	380	32220	31940	21820	37410				
51-4111	Tool and Die Makers	300	46080	41100	30550	53840				
51-4121	"Welders, Cutters, Solderers, and Brazers"	1400	41640	36690	25980	49470				
51-4122	"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"		36600	36530	25650	42070				
51-4192	"Layout Workers, Metal and Plastic"		44420	45010	37070	48100				
51-4193	"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"		29810	26230	20440	34490				
51-5111	Prepress Technician and Workers	840	49030	50190	29140	58980				
51-5112	Printing Press Operators	3030	42130	38370	26150	50130				
51-5113	Print Binding and Finishing Workers		32490	30190	25990	35740				
51-6011	Laundry and Dry-Cleaning Workers	6560	24190	20800	16900	27840				
51-6021	"Pressers, Textile, Garment, and Related Materials"	1190	19540	18590	16970	20830				
51-6031	Sewing Machine Operators	8850	25620	21920	17040	29910				
51-6041	Shoe and Leather Workers and Repairers		22640	22570	19370	24280				
51-6051	"Sewers, Hand"	570	25080	23030	19320	27960				
51-6052	"Tailors, Dressmakers, and Custom Sewers"	1800	39650	35990	23600	47680				
51-6062	"Textile Cutting Machine Setters, Operators, and Tenders"	790	26790	21190	17040	31670				
51-6063	"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"	370	22090	20030	16930	24660				
51-6064	"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"		22710	21130	16710	25710				
51-6092	Fabric and Apparel Patternmakers	1190	65770	69140	37930	79690				
51-6093	Upholsterers	510	43560	44480	24830	52920				
51-7011	Cabinetmakers and Bench Carpenters	1290	37330	33790	24570	43710				
51-7021	Furniture Finishers	290	41460	37830	32510	45930				
51-7041	"Sawing Machine Setters, Operators, and Tenders, Wood"		38880	39200	30210	43210				
51-7042	"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"		43320	48430	23490	53230				
51-7099	"Woodworkers, All Other"		39390	34430	21570	48300				
51-8021	Stationary Engineers and Boiler Operators	2200	81200	76680	56600	93510				
51-8031	Water and Wastewater Treatment Plant and System Operators	970	68750	69270	60970	72640				
51-8099	"Plant and System Operators, All Other"		61190	62830	49350	67120				
51-9011	Chemical Equipment Operators and Tenders		36460	30880	25430	41980				
51-9012	"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"		34760	32690	27760	38250				
51-9021	"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"	320	31270	24940	16930	38440				
51-9022	"Grinding and Polishing Workers, Hand"	400	29860	26570	19310	35130				
51-9023	"Mixing and Blending Machine Setters, Operators, and Tenders"	980	29810	28210	19750	34840				
51-9031	"Cutters and Trimmers, Hand"	260	39220	42400	22410	47630				
51-9032	"Cutting and Slicing Machine Setters, Operators, and Tenders"	250	31930	32780	20800	37500				
51-9041	"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"	390	26790	21060	16800	31790				
51-9051	"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"		34460	31470	21880	40750				
51-9061	"Inspectors, Testers, Sorters, Samplers, and Weighers"	3290	37800	32680	19750	46830				
51-9071	Jewelers and Precious Stone and Metal Workers	2610	38890	36270	23800	46430				
51-9081	Dental Laboratory Technicians	410	35630	34600	23030	41930				
51-9082	Medical Appliance Technicians		39070	35790	31960	42630				
51-9083	Ophthalmic Laboratory Technicians		31950	33170	24030	35910				
51-9111	Packaging and Filling Machine Operators and Tenders	3310	25040	19720	16930	29100				
51-9121	"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"	340	26870	22610	16880	31870				
51-9122	"Painters, Transportation Equipment"		38930	37960	27070	44860				
51-9123	"Painting, Coating, and Decorating Workers"	280	36450	36100	20660	44340				
51-9151	Photographic Process Workers and Processing Machine Operators	1060	38220	32070	21510	46580				
51-9191	Adhesive Bonding Machine Operators and Tenders		30080	29440	21070	34590				
51-9192	"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"		21430	19400	16840	23730				
51-9194	Etchers and Engravers		43470	44480	39130	45640				
51-9195	"Molders, Shapers, and Casters, Except Metal and Plastic"	300	37020	29180	21730	44660				
51-9196	"Paper Goods Machine Setters, Operators, and Tenders"	450	30680	30280	20640	35710				
51-9198	Helpers--Production Workers	2450	23580	19260	16900	26920				
51-9199	"Production Workers, All Other"	730	32120	28470	17910	39230				
53-0000	Transportation and Material Moving Occupations	174420	45430	37260	21280	57500				
53-1011	Aircraft Cargo Handling Supervisors		55430	54000	40580	62850				
53-1021	"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"	2240	55320	54810	35260	65340				
53-1031	First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators	5280	70490	74480	42300	84590				
53-2011	"Airline Pilots, Copilots, and Flight Engineers"	4310	170260	157340	102320	>187200				
53-2012	Commercial Pilots	270	110040	95360	67630	131240				
53-2022	Airfield Operations Specialists	400	57710	55210	38720	67210				
53-2031	Flight Attendants	9030	40330	36690	31190	44900				
53-3011	"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"		29100	28330	23790	31750				
53-3021	"Bus Drivers, Transit and Intercity"	13970	53800	59120	32270	64570				
53-3022	"Bus Drivers, School or Special Client"	12720	40870	37850	27220	47700				
53-3031	Driver/Sales Workers	6820	26790	22530	16970	31700				
53-3032	Heavy and Tractor-Trailer Truck Drivers	11460	46940	44940	27550	56630				
53-3033	Light Truck or Delivery Services Drivers	15440	41200	39010	21880	50860				
53-3041	Taxi Drivers and Chauffeurs	7210	34200	31280	21330	40630				
53-3099	"Motor Vehicle Operators, All Other"	820	40770	42530	32800	44750				
53-5011	Sailors and Marine Oilers	960	61090	58650	46660	68300				
53-5021	"Captains, Mates, and Pilots of Water Vessels"	1030	83910	83680	55080	98330				
53-5022	Motorboat Operators		45410	43210	35730	50240				
53-5031	Ship Engineers	410	90570	91030	70360	100680				
53-6021	Parking Lot Attendants	9980	23300	21410	17060	26420				
53-6031	Automotive and Watercraft Service Attendants	880	22340	20660	17050	24990				
53-6041	Traffic Technicians	1160	48230	39330	24000	60340				
53-6051	Transportation Inspectors	2870	69010	69350	59950	73540				
53-6061	"Transportation Attendants, Except Flight Attendants"	1160	29700	30430	19710	34690				
53-6099	"Transportation Workers, All Other"	250	33960	33360	22800	39540				
53-7011	Conveyor Operators and Tenders		33990	34110	27660	37160				
53-7021	Crane and Tower Operators		95360	89500	63660	111220				
53-7032	Excavating and Loading Machine and Dragline Operators		59800	53900	36260	71580				
53-7051	Industrial Truck and Tractor Operators	3370	41510	38290	23150	50700				
53-7061	Cleaners of Vehicles and Equipment	5560	41460	49950	20180	52100				
53-7062	"Laborers and Freight, Stock, and Material Movers, Hand"	30670	36420	27320	18850	45210				
53-7063	Machine Feeders and Offbearers	540	26750	24150	18980	30630				
53-7064	"Packers and Packagers, Hand"	10490	22750	20040	17130	25570				
53-7081	Refuse and Recyclable Material Collectors	6650	60890	65440	45540	68560				
53-7199	"Material Moving Workers, All Other"	620	42180	43980	34610	45960				
